index,set,voiced,voiceless,step,underscore,extension,path
302,bony_pony_1,bony,pony,15,_,.mp3,bony_pony_1_15.mp3
303,bore_pore_1,bore,pore,24,_,.mp3,bore_pore_1_24.mp3
304,bowl_pole_1,bowl,pole,23,_,.mp3,bowl_pole_1_23.mp3
305,bull_pull_3,bull,pull,23,_,.mp3,bull_pull_3_23.mp3
306,bully_pulley_3,bully,pulley,21,_,.mp3,bully_pulley_3_21.mp3
307,bun_pun_3,bun,pun,19,_,.mp3,bun_pun_3_19.mp3
308,burly_pearly_3,burly,pearly,22,_,.mp3,burly_pearly_3_22.mp3
309,dame_tame_1,dame,tame,21,_,.mp3,dame_tame_1_21.mp3
310,dare_tear_1,dare,tear,22,_,.mp3,dare_tear_1_22.mp3
311,deal_teal_1,deal,teal,19,_,.mp3,deal_teal_1_19.mp3
312,dial_tile_1,dial,tile,23,_,.mp3,dial_tile_1_23.mp3
313,die_tie_1,die,tie,26,_,.mp3,die_tie_1_26.mp3
314,dime_time_3,dime,time,25,_,.mp3,dime_time_3_25.mp3
315,din_tin_3,din,tin,21,_,.mp3,din_tin_3_21.mp3
316,doll_tall_3,doll,tall,22,_,.mp3,doll_tall_3_22.mp3
317,dollar_taller_3,dollar,taller,23,_,.mp3,dollar_taller_3_23.mp3
318,doom_toom_3,doom,tomb,20,_,.mp3,doom_toom_3_20.mp3
319,dough_toe_3,dough,toe,23,_,.mp3,dough_toe_3_23.mp3
320,drain_train_1,drain,train,19,_,.mp3,drain_train_1_19.mp3
321,dry_try_3,dry,try,18,_,.mp3,dry_try_3_18.mp3
322,duel_tool_1,duel,tool,18,_,.mp3,duel_tool_1_18.mp3
323,gain_cane_3,gain,cane,23,_,.mp3,gain_cane_3_23.mp3
324,gale_kale_1,gale,kale,24,_,.mp3,gale_kale_1_24.mp3
325,gallery_calorie_3,gallery,calorie,22,_,.mp3,gallery_calorie_3_22.mp3
326,game_came_3,game,came,16,_,.mp3,game_came_3_16.mp3
327,girly_curly_3,girly,curly,20,_,.mp3,girly_curly_3_20.mp3
328,glue_clue_3,glue,clue,17,_,.mp3,glue_clue_3_17.mp3
329,goal_coal_3,goal,coal,21,_,.mp3,goal_coal_3_21.mp3
330,gore_core_3,gore,core,19,_,.mp3,gore_core_3_19.mp3
331,grain_crain_3,grain,crain,20,_,.mp3,grain_crain_3_20.mp3
332,grew_crew_3,grew,crew,22,_,.mp3,grew_crew_3_22.mp3
333,grill_krill_3,grill,krill,16,_,.mp3,grill_krill_3_16.mp3
334,grime_crime_3,grime,crime,21,_,.mp3,grime_crime_3_21.mp3
335,grow_crow_1,grow,crow,16,_,.mp3,grow_crow_1_16.mp3
336,gruel_cruel_3,gruel,cruel,20,_,.mp3,gruel_cruel_3_20.mp3
337,ab_app_1,ab,app,24,_,.mp3,ab_app_1_24.mp3
338,abe_ape_1,abe,ape,28,_,.mp3,abe_ape_1_28.mp3
339,chug_chuck_3,chug,chuck,28,_,.mp3,chug_chuck_3_28.mp3
340,fade_fate_3,fade,fate,24,_,.mp3,fade_fate_3_24.mp3
341,feed_feet_1,feed,feet,26,_,.mp3,feed_feet_1_26.mp3
342,flab_flap_1,flab,flap,28,_,.mp3,flab_flap_1_28.mp3
343,flag_flack_1,flag,flack,28,_,.mp3,flag_flack_1_28.mp3
344,ford_fort_1,ford,fort,28,_,.mp3,ford_fort_1_28.mp3
345,hard_heart_1,hard,heart,28,_,.mp3,hard_heart_1_28.mp3
346,hide_height_3,hide,height,26,_,.mp3,hide_height_3_26.mp3
347,hug_huck_1,hug,huck,25,_,.mp3,hug_huck_1_25.mp3
348,lab_lap_3,lab,lap,27,_,.mp3,lab_lap_3_27.mp3
349,lag_lack_1,lag,lack,19,_,.mp3,lag_lack_1_19.mp3
350,league_leak_1,league,leak,22,_,.mp3,league_leak_1_22.mp3
351,lob_lop_3,lob,lop,24,_,.mp3,lob_lop_3_24.mp3
352,lube_loop_3,lube,loop,24,_,.mp3,lube_loop_3_24.mp3
353,lug_luck_1,lug,luck,25,_,.mp3,lug_luck_1_25.mp3
354,mob_mop_3,mob,mop,27,_,.mp3,mob_mop_3_27.mp3
355,mound_mount_1,mound,mount,26,_,.mp3,mound_mount_1_26.mp3
